Place Name, Latitude, Longitude
"Dauphin, MB, Canada",51.149445,-100.049446
"Brandon, MB, Canada",49.848331,-99.949997
"White Rock, BC, Canada",49.019917,-122.802612
"Salmon Arm, BC, Canada",50.702221,-119.272224
"Quesnel, BC, Canada",52.978443,-122.492668
"Prince Rupert, BC, Canada",54.312195,-130.327087
"Prince George, BC, Canada",53.916943,-122.749443
"Powell River, BC, Canada",49.835278,-124.524719
"Port Moody, BC, Canada",49.283054,-122.831665
"Port Coquitlam, BC, Canada",49.262501,-122.781113
"Port Alberni, BC, Canada",49.233891,-124.805
"Pitt Meadows, BC, Canada",49.233334,-122.683334
"Parksville, BC, Canada",49.314999,-124.311996
"North Vancouver, BC, Canada",49.316666,-123.066666
"Langford, BC, Canada",48.450558,-123.505836
"Kimberley, BC, Canada",49.669724,-115.977501
"Kamloops, BC, Canada",50.676109,-120.340836
"Greenwood, BC, Canada",49.09111,-118.676941
"Grand Forks, BC, Canada",49.033333,-118.440002
"Fort St. John, BC, Canada",56.246464,-120.847633
"Fernie, BC, Canada",49.504166,-115.062775
"Enderby, BC, Canada",50.550835,-119.139725
"Duncan, BC, Canada",48.778694,-123.707863
"Delta, BC, Canada",49.084721,-123.058609
"Cranbrook, BC, Canada",49.509724,-115.76667
"Dawson Creek, BC, Canada",55.760555,-120.235558
"Courtenay, BC, Canada",49.687778,-124.994446
"Colwood, BC, Canada",48.423611,-123.495834
"Castlegar, BC, Canada",49.325558,-117.666115
"Campbell River, BC, Canada",50.024445,-125.247498
"Abbotsford, BC, Canada",49.049999,-122.316666
"Armstrong, BC, Canada",50.448334,-119.196114
"Wetaskiwin, AB, Canada",52.969444,-113.376945
"St. Albert, AB, Canada",53.63028,-113.625832
"Spruce Grove, AB, Canada",53.544998,-113.900803
"Medicine Hat, AB, Canada",50.041668,-110.677498
"Lloydminster, AB, Canada",53.278332,-110.004997
"Lethbridge, AB, Canada",49.694168,-112.832779
"Leduc, AB, Canada",53.259445,-113.549164
"Lacombe, AB, Canada",52.468334,-113.736946
"Grande Prairie, AB, Canada",55.170834,-118.794724
"Fort Saskatchewan, AB, Canada",53.712776,-113.213333
"Cold Lake, AB, Canada",54.464169,-110.182503
"Chestermere, AB, Canada",51.049999,-113.822502
"Camrose, AB, Canada",53.016666,-112.833336
"Calgary, AB, Canada",51.049999,-114.066666
"Brooks, AB, Canada",50.564167,-111.898888
"Beaumont, AB, Canada",53.357224,-113.414719
"Airdrie, AB, Canada",51.291668,-114.014442
"Montreal, Quebec, Canada",45.508888,-73.561668
"Toronto, ON, Canada",43.65107,-79.347015
"Sudbury, ON, Canada",46.493919,-80.995415
"Maple Ridge, BC, Canada",49.216667,-122.599998
"Pickering, ON, Canada",43.838413,-79.086761
"New Westminster, BC, Canada",49.206944,-122.91111
"Longueuil, QC, Canada",45.536945,-73.510712
"Regina, SK, Canada",50.44521,-104.618896
"Surrey, BC, Canada",49.104431,-122.801094
"Vaughan, ON, Canada",43.837208,-79.508278
"St. Thomas, ON, Canada",42.778828,-81.175369
"Coquitlam, BC, Canada",49.283764,-122.793205
"Richmond, BC, Canada",49.166592,-123.133568
"Kitchener, ON, Canada",43.452969,-80.495064
"St. John's, NL, Canada",47.560539,-52.71283
"Pembroke, ON, Canada",45.826653,-77.110886
"Winnipeg, MB, Canada",49.895077,-97.138451
"High River, AB, Canada",50.584435,-113.873505
"Lévis, QC, Canada",46.738228,-71.24646
"Fredericton, NB, Canada",45.964993,-66.646332
"Laval, Montreal, QC, Canada",45.612499,-73.707092
"Val-d'Or, QC, Canada",48.098709,-77.796768
"Nelson, BC, Canada",49.5,-117.283333
"Markham, ON, Canada",43.856098,-79.337021
"Burnaby, BC, Canada",49.267132,-122.968941
"Barrie, ON, Canada",44.389355,-79.690331
"Saint John, NB, Canada",45.273918,-66.067657
"Burlington, ON, Canada",43.328674,-79.817734
"Nanaimo, BC, Canada",49.165882,-123.940063
"St. Catharines, ON, Canada",43.159374,-79.246864
"Fort McMurray, AB, Canada",56.732014,-111.375961
"Vernon, BC, Canada",50.27179,-119.276505
"Mississauga, ON, Canada",43.59531,-79.640579
"Whitehorse, YT, Canada",60.721188,-135.056839
"Victoria, BC, Canada",48.407326,-123.329773
"St. John's, NL, Canada",47.560539,-52.71283
"Saskatoon, SK, Canada",52.146973,-106.647034
"Penticton, BC, Canada",49.489536,-119.589615
"Halifax, NS, Canada",44.65107,-63.582687
"Gatineau, QC, Canada",45.476543,-75.701271
"Trail, BC, Canada",49.095001,-117.709999
"Brampton, ON, Canada",43.683334,-79.76667
"Edmonton, AB, Canada",53.631611,-113.323975
"Hamilton, ON, Canada",43.255203,-79.843826
"Windsor, ON, Canada",42.317432,-83.026772
"Welland, ON, Canada",42.992157,-79.248253
"Chilliwack, BC, Canada",49.15794,-121.951469
"Red Deer, AB, Canada",52.268112,-113.811241
"Greater Sudbury, ON, Canada",46.490002,-81.010002
"Moncton, NB, Canada",46.090946,-64.790497
"Vancouver, BC, Canada",49.246292,-123.116226
"Quinte West, ON, Canada",44.188114,-77.586136
"Orillia, ON, Canada",44.608246,-79.419678
"Richmond Hill, Ontario, Canada",43.887501,-79.428406
"Kelowna, BC, Canada",49.882114,-119.477829
"Sherbrooke, QC, Canada",45.404476,-71.888351
"Port Colborne, ON, Canada",42.891411,-79.252075
"Quebec City, QC, Canada",46.829853,-71.254028
"Nanaimo, BC, Canada",49.165882,-123.940063
"Langley, BC, Canada",49.074329,-122.559319
